;IPC;mu;gamma;f2;sigma;epsilon;score
nov/09;0,26;0,349546906;0,084202522;-1,689479434;0,184615604;-0,94114162;-0,164286037
dez/09;0,24;0,283349757;0,047443376;-1,689479434;0,184615604;-0,491795554;-0,089387149
jan/10;1,29;0,247332244;0,800264988;-1,689479434;0,184615604;1,313013435;0,217965013
fev/10;0,68;0,335158713;0,109263597;-1,689479434;0,184615604;1,276044305;0,213020308
mar/10;0,86;0,42099277;0,310327635;-1,689479434;0,184615604;0,697013644;0,124738479
abr/10;0,76;0,471254691;0,273353135;-1,689479434;0,184615604;0,08337418;0,015385219
mai/10;0,21;0,477453986;-0,170001914;-1,689479434;0,184615604;-0,527864763;-0,095717576
jun/10;-0,21;0,438885701;-0,596918152;-1,689479434;0,184615604;-0,28149056;-0,051701131
jul/10;-0,21;0,418053331;-0,549820787;-1,689479434;0,184615604;-0,423759113;-0,077329479
ago/10;-0,08;0,386894316;-0,306740118;-1,689479434;0,184615604;-0,867500882;-0,152681747
set/10;0,46;0,325372981;0,045415297;-1,689479434;0,184615604;0,483229587;0,087877219
out/10;0,59;0,360782085;0,03333226;-1,689479434;0,184615604;1,061046036;0,182522155
nov/10;1;0,434327266;0,303970376;-1,689479434;0,184615604;1,417552759;0,231455385
dez/10;0,72;0,527589523;0,21654148;-1,689479434;0,184615604;-0,130709444;-0,024104221
jan/11;1,27;0,517877007;0,60443842;-1,689479434;0,184615604;0,799957151;0,141783965
fev/11;0,49;0,575007208;-0,088259658;-1,689479434;0,184615604;0,017617418;0,003252385
mar/11;0,71;0,576317719;0,198382628;-1,689479434;0,184615604;-0,350459796;-0,064187646
abr/11;0,95;0,550454053;0,274554987;-1,689479434;0,184615604;0,677033565;0,12137288
mai/11;0,51;0,599359844;-0,023833021;-1,689479434;0,184615604;-0,354936534;-0,06499433
jun/11;-0,18;0,573171134;-0,50085785;-1,689479434;0,184615604;-1,366695335;-0,224983833
jul/11;-0,04;0,482516513;-0,440237263;-1,689479434;0,184615604;-0,445678742;-0,081229958
ago/11;0,4;0,449785846;-0,106470255;-1,689479434;0,184615604;0,307040187;0,056338999
set/11;0,5;0,47248699;-0,024027609;-1,689479434;0,184615604;0,27917802;0,051280691
out/11;0,26;0,493149949;-0,154195373;-1,689479434;0,184615604;-0,427670109;-0,078026473
nov/11;0,53;0,461710088;0,031052512;-1,689479434;0,184615604;0,201702342;0,037139137
dez/11;0,79;0,476674872;0,232948969;-1,689479434;0,184615604;0,435370344;0,079397435
jan/12;0,81;0,508667145;0,430760118;-1,689479434;0,184615604;-0,701063512;-0,125418481
fev/12;0,24;0,458131226;-0,121407368;-1,689479434;0,184615604;-0,523920279;-0,095027507
mar/12;0,6;0,419840997;0,236851175;-1,689479434;0,184615604;-0,307082233;-0,05634662
abr/12;0,52;0,397136781;0,089524026;-1,689479434;0,184615604;0,180587082;0,033268635
mai/12;0,52;0,410541991;0,007525979;-1,689479434;0,184615604;0,552131171;0,099950477
jun/12;0,11;0,450815874;-0,259503321;-1,689479434;0,184615604;-0,440442472;-0,080299511
jul/12;0,22;0,41846012;-0,358066345;-1,689479434;0,184615604;0,864532695;0,152207855
ago/12;0,44;0,479790505;-0,167067373;-1,689479434;0,184615604;0,689415546;0,123460703
set/12;0,54;0,529537561;-0,071749785;-1,689479434;0,184615604;0,445315685;0,081165473
out/12;0,48;0,562242245;-0,042612205;-1,689479434;0,184615604;-0,214662462;-0,039511634
nov/12;0,45;0,546321491;0,00731303;-1,689479434;0,184615604;-0,561352992;-0,101553375
dez/12;0,66;0,505401739;0,144161414;-1,689479434;0,184615604;0,056532857;0,010434679
jan/13;1,01;0,509606271;0,58258975;-1,689479434;0,184615604;-0,44522792;-0,081149883
fev/13;0,33;0,476907869;-0,001852683;-1,689479434;0,184615604;-0,785714661;-0,139456271
mar/13;0,72;0,420715586;0,30517666;-1,689479434;0,184615604;-0,031916294;-0,005891856
abr/13;0,52;0,418341531;0,054612551;-1,689479434;0,184615604;0,254831753;0,046848068
mai/13;0,32;0,437218415;-0,10661686;-1,689479434;0,184615604;-0,057425026;-0,010599283
jun/13;0,35;0,432947558;-0,166911008;-1,689479434;0,184615604;0,454801485;0,082848984
jul/13;-0,17;0,466330593;-0,530075261;-1,689479434;0,184615604;-0,57554903;-0,104014573
ago/13;0,2;0,42441913;-0,330137519;-1,689479434;0,184615604;0,572640599;0,103510961
set/13;0,3;0,466127668;-0,185706622;-1,689479434;0,184615604;0,10605254;0,019564643
out/13;0,55;0,474011014;-0,016909936;-1,689479434;0,184615604;0,503201901;0,091393917
nov/13;0,68;0,51083713;0,121191516;-1,689479434;0,184615604;0,259844526;0,047761633
dez/13;0,69;0,530082125;0,137718461;-1,689479434;0,184615604;0,120246684;0,022178559
jan/14;0,99;0,539018718;0,688029105;-1,689479434;0,184615604;-1,284007516;-0,214093008
fev/14;0,66;0,452752428;0,160671491;-1,689479434;0,184615604;0,252286806;0,046384084
mar/14;0,85;0,471442356;0,324978834;-1,689479434;0,184615604;0,290218212;0,053286929
abr/14;0,77;0,492913705;0,01662817;-1,689479434;0,184615604;1,410813172;0,230607793
mai/14;0,52;0,585834435;-0,056654529;-1,689479434;0,184615604;-0,049724431;-0,00917843
jun/14;0,33;0,582136093;-0,229757637;-1,689479434;0,184615604;-0,121216493;-0,022357092
jul/14;0,1;0,573127563;-0,377654587;-1,689479434;0,184615604;-0,517144673;-0,093840855
ago/14;0,12;0,535315481;-0,427530767;-1,689479434;0,184615604;0,066166057;0,01221181
set/14;0,49;0,540236087;-0,190829118;-1,689479434;0,184615604;0,761544681;0,135483133
out/14;0,43;0,594827441;-0,097177356;-1,689479434;0,184615604;-0,36643753;-0,067064449
nov/14;0,65;0,567804601;0,077702096;-1,689479434;0,184615604;0,024338694;0,00449313
dez/14;0,75;0,569615056;0,120793354;-1,689479434;0,184615604;0,322787396;0,059190519
jan/15;1,73;0,593465187;0,960416433;-1,689479434;0,184615604;0,953973425;0,166277323
fev/15;0,97;0,660464702;0,156530128;-1,689479434;0,184615604;0,828777021;0,146462745
mar/15;1,41;0,719480162;0,322574444;-1,689479434;0,184615604;1,993035188;0,292408918
abr/15;0,61;0,837302937;-0,176020334;-1,689479434;0,184615604;-0,277780439;-0,051026547
mai/15;0,72;0,816742383;0,012161633;-1,689479434;0,184615604;-0,589896056;-0,106494042
jun/15;0,82;0,773831847;-0,154814478;-1,689479434;0,184615604;1,088654628;0,186600316
jul/15;0,53;0,849020276;-0,195260669;-1,689479434;0,184615604;-0,670363743;-0,120245413
ago/15;0,22;0,800568784;-0,375983644;-1,689479434;0,184615604;-1,108168195;-0,189454656
set/15;0,42;0,724230232;-0,308594632;-1,689479434;0,184615604;0,023640471;0,004364241
out/15;0,76;0,725988753;0,016671814;-1,689479434;0,184615604;0,093921819;0,017329492
nov/15;1;0,73297147;0,113559402;-1,689479434;0,184615604;0,831290126;0,146868721
dez/15;0,88;0,792150514;0,104878177;-1,689479434;0,184615604;-0,092238636;-0,017019275
jan/16;1,78;0,785292795;0,807387801;-1,689479434;0,184615604;1,014645566;0,175564943
fev/16;0,76;0,856034648;0,028387127;-1,689479434;0,184615604;-0,673950483;-0,120851959
mar/16;0,5;0,807338756;-0,008901053;-1,689479434;0,184615604;-1,616535641;-0,255087092
abr/16;0,49;0,704554377;-0,147528234;-1,689479434;0,184615604;-0,363057844;-0,066456471
mai/16;0,64;0,677776515;0,106143785;-1,689479434;0,184615604;-0,779567367;-0,138448482
